,Reserva vaga,Num Seq deste Período Letivo,Periodos Cursados,Data Última Alteração Matrícula,Nível de Ensino,Previsão de Término (Letivo),Tipo_Escola_Origem,Fluxo Escolar - Label,Dt Ref Início Matrícula,Idade (Hoje),Matrícula retida?,Cód. da Matriz,Etnia,Periodo Letivo (Num),Última Alteração de Situação,CH. Disc. Obrigatórias,Dt Ref Início Período Letivo,Forma de Oferta (grupo),Ingressantes em  (Ano Letivo),Modalidade do Curso,Estado Aluno,Cód. do Curso,Data Início Período,Forma de Ingresso,Faixa Etária,Sexo,Data Final Período,Ingressantes em (Período Letivo),Duracao curso,CH. Disc. Optativas,Tipo de Modalidade,Tipo de Modalidade (grupo),Estrutura Etária,CH,Campus (Nome),É matrícula retida neste período letivo?,Cidade Aluno
250,Ampla Concorrência,1,2,2019-10-18 00:00:00,Técnico,2019/1,E,Formados,2018-01-07 00:00:00,22,Fora do prazo,5929,Parda,20182,2019-10-18 00:00:00,800,2018-01-07 00:00:00,Subsequente,2018,Subsequente,CE,11203,2018-11-26 00:00:00,Seleção Técnico,20 a 24 anos,F,2019-05-22 00:00:00,20182,2,0,Educação Profissional,Educação Profissional,Adulto (20 a 59 anos),800,Acaraú,Não Retida,Itarema
252,Ampla Concorrência,1,1,2016-05-27 00:00:00,Básico,2016/1,E,Formados,2015-01-07 00:00:00,31,Dentro do prazo,7275,Branca,20152,2016-05-27 00:00:00,160,2015-01-07 00:00:00,Fic,2015,Fic,CE,111022,2016-02-03 00:00:00,Seleção Extensão,30 a 34 anos,F,2016-07-11 00:00:00,20152,2,0,Regular,Regular,Adulto (20 a 59 anos),160,Acaraú,Não Retida,Acaraú
253,Ampla Concorrência,3,4,2017-05-12 00:00:00,Técnico,2016/2,M,Formados,2015-01-01 00:00:00,22,Dentro do prazo,5158,Indígena,20162,2017-05-12 00:00:00,1240,2016-01-07 00:00:00,Subsequente,2015,Subsequente,CE,11200,2016-11-16 00:00:00,Seleção Técnico,20 a 24 anos,M,2017-05-15 00:00:00,20151,4,0,Educação Profissional,Educação Profissional,Adulto (20 a 59 anos),1240,Acaraú,Não Retida,Itarema
257,Não possui,1,2,2019-10-18 00:00:00,Básico,2019/1,E,Formados,2018-01-07 00:00:00,24,Fora do prazo,7274,Parda,20182,2019-10-18 00:00:00,160,2018-01-07 00:00:00,Fic,2018,Fic,CE,111021,2018-11-26 00:00:00,Seleção Extensão,20 a 24 anos,F,2019-05-22 00:00:00,20182,2,0,Regular,Regular,Adulto (20 a 59 anos),160,Acaraú,Não Retida,Acaraú
276,Ampla Concorrência,1,4,2019-10-18 00:00:00,Técnico,2019/1,E,Formados,2017-01-07 00:00:00,31,Fora do prazo,9884,Branca,20172,2019-10-18 00:00:00,1240,2017-01-07 00:00:00,Subsequente,2017,Subsequente,CE,11205,2017-11-16 00:00:00,Seleção Técnico,30 a 34 anos,F,2018-06-04 00:00:00,20172,4,0,Educação Profissional,Educação Profissional,Adulto (20 a 59 anos),1240,Acaraú,Não Retida,Acaraú
294,Não possui,1,2,2018-05-16 00:00:00,Básico,2017/2,E,Formados,2017-01-01 00:00:00,28,Dentro do prazo,7274,Parda,20171,2018-05-16 00:00:00,160,2017-01-01 00:00:00,Fic,2017,Fic,CE,111021,2017-05-22 00:00:00,Seleção Extensão,25 a 29 anos,F,2017-11-16 00:00:00,20171,2,0,Regular,Regular,Adulto (20 a 59 anos),160,Acaraú,Não Retida,Acaraú
314,Ampla Concorrência,5,6,2018-05-16 00:00:00,Técnico,2016/2,E,Formados,2015-01-01 00:00:00,22,Fora do prazo,4928,Branca,20172,2018-05-16 00:00:00,1480,2017-01-07 00:00:00,Subsequente,2015,Subsequente,CE,11202,2017-11-16 00:00:00,Seleção Técnico,20 a 24 anos,M,2018-06-04 00:00:00,20151,4,0,Educação Profissional,Educação Profissional,Adulto (20 a 59 anos),1480,Acaraú,Retida,Acaraú
315,Não possui,1,1,2016-10-18 00:00:00,Básico,2016/2,E,Formados,2016-01-01 00:00:00,31,Dentro do prazo,7274,Não dispõe da informação,20161,2016-10-18 00:00:00,160,2016-01-01 00:00:00,Fic,2016,Fic,CE,111021,2016-07-11 00:00:00,Seleção Extensão,30 a 34 anos,M,2016-11-23 00:00:00,20161,2,0,Regular,Regular,Adulto (20 a 59 anos),160,Acaraú,Não Retida,Acaraú
320,Ampla Concorrência,1,1,2016-05-27 00:00:00,Básico,2016/1,E,Formados,2015-01-07 00:00:00,34,Dentro do prazo,7275,Preta,20152,2016-05-27 00:00:00,160,2015-01-07 00:00:00,Fic,2015,Fic,CE,111022,2016-02-03 00:00:00,Seleção Extensão,30 a 34 anos,F,2016-07-11 00:00:00,20152,2,0,Regular,Regular,Adulto (20 a 59 anos),160,Acaraú,Não Retida,Acaraú
325,Ampla Concorrência,5,4,2019-10-18 00:00:00,Técnico,2019/1,E,Formados,2017-01-07 00:00:00,25,Fora do prazo,6427,Não dispõe da informação,20191,2019-10-18 00:00:00,1080,2019-01-01 00:00:00,Subsequente,2017,Subsequente,CE,11201,2019-05-22 00:00:00,Seleção Técnico,25 a 29 anos,F,2019-10-31 00:00:00,20172,4,0,Educação Profissional,Educação Profissional,Adulto (20 a 59 anos),1080,Acaraú,Retida,Itarema
333,Ampla Concorrência,1,2,2018-05-16 00:00:00,Técnico,2017/2,E,Formados,2017-01-01 00:00:00,21,Dentro do prazo,7083,Branca,20172,2018-05-16 00:00:00,800,2017-01-07 00:00:00,Subsequente,2017,Subsequente,CE,11204,2017-11-16 00:00:00,Seleção Técnico,20 a 24 anos,F,2018-06-04 00:00:00,20171,2,0,Educação Profissional,Educação Profissional,Adulto (20 a 59 anos),800,Acaraú,Não Retida,Acaraú
344,Não possui,1,1,2019-05-09 00:00:00,Básico,2019/1,P,Formados,2018-01-07 00:00:00,59,Dentro do prazo,7274,Não quis declarar cor/raça,20182,2019-05-09 00:00:00,160,2018-01-07 00:00:00,Fic,2018,Fic,CE,111021,2018-11-26 00:00:00,Seleção Extensão,55 a 59 anos,F,2019-05-22 00:00:00,20182,2,0,Regular,Regular,Adulto (20 a 59 anos),160,Acaraú,Não Retida,Acaraú
363,Não possui,1,2,2018-05-16 00:00:00,Básico,2017/2,E,Formados,2017-01-01 00:00:00,22,Dentro do prazo,7274,Parda,20172,2018-05-16 00:00:00,160,2017-01-07 00:00:00,Fic,2017,Fic,CE,111021,2017-11-16 00:00:00,Seleção Extensão,20 a 24 anos,F,2018-06-12 00:00:00,20171,2,0,Regular,Regular,Adulto (20 a 59 anos),160,Acaraú,Não Retida,Acaraú
373,Não possui,1,2,2018-05-16 00:00:00,Básico,2017/2,F,Formados,2017-01-01 00:00:00,26,Dentro do prazo,7274,Parda,20172,2018-05-16 00:00:00,160,2017-01-07 00:00:00,Fic,2017,Fic,CE,111021,2017-11-16 00:00:00,Seleção Extensão,25 a 29 anos,F,2018-06-12 00:00:00,20171,2,0,Regular,Regular,Adulto (20 a 59 anos),160,Acaraú,Não Retida,Acaraú
420,Ampla Concorrência,1,2,2017-04-19 00:00:00,Técnico,2016/2,E,Formados,2016-01-01 00:00:00,22,Dentro do prazo,7083,Branca,20162,2017-04-19 00:00:00,800,2016-01-07 00:00:00,Subsequente,2016,Subsequente,CE,11204,2016-11-16 00:00:00,Seleção Técnico,20 a 24 anos,F,2017-05-15 00:00:00,20161,2,0,Educação Profissional,Educação Profissional,Adulto (20 a 59 anos),800,Acaraú,Não Retida,Acaraú
434,Ampla Concorrência,1,2,2019-10-18 00:00:00,Técnico,2019/1,E,Formados,2018-01-07 00:00:00,20,Fora do prazo,5929,Parda,20182,2019-10-18 00:00:00,800,2018-01-07 00:00:00,Subsequente,2018,Subsequente,CE,11203,2018-11-26 00:00:00,Seleção Técnico,20 a 24 anos,F,2019-05-22 00:00:00,20182,2,0,Educação Profissional,Educação Profissional,Adulto (20 a 59 anos),800,Acaraú,Não Retida,Itarema
437,Ampla Concorrência,5,5,2017-11-01 00:00:00,Técnico,2016/2,E,Formados,2015-01-01 00:00:00,24,Fora do prazo,4928,Não dispõe da informação,20171,2017-11-01 00:00:00,1480,2017-01-01 00:00:00,Subsequente,2015,Subsequente,CE,11202,2017-05-15 00:00:00,Seleção Técnico,20 a 24 anos,M,2017-11-16 00:00:00,20151,4,0,Educação Profissional,Educação Profissional,Adulto (20 a 59 anos),1480,Acaraú,Retida,Acaraú
442,Não possui,1,2,2019-05-09 00:00:00,Básico,2018/2,E,Formados,2018-01-01 00:00:00,31,Dentro do prazo,7276,Não quis declarar cor/raça,20181,2019-05-09 00:00:00,160,2018-01-01 00:00:00,Fic,2018,Fic,CE,111023,2018-06-12 00:00:00,Seleção Extensão,30 a 34 anos,F,2018-11-26 00:00:00,20181,2,0,Regular,Regular,Adulto (20 a 59 anos),160,Acaraú,Não Retida,Acaraú
449,Ampla Concorrência,1,2,2019-10-18 00:00:00,Técnico,2019/1,E,Formados,2018-01-07 00:00:00,23,Fora do prazo,7083,Preta,20182,2019-10-18 00:00:00,800,2018-01-07 00:00:00,Subsequente,2018,Subsequente,CE,11204,2018-11-26 00:00:00,Seleção Técnico,20 a 24 anos,F,2019-05-22 00:00:00,20182,2,0,Educação Profissional,Educação Profissional,Adulto (20 a 59 anos),800,Acaraú,Não Retida,Marco
465,Não possui,3,2,2017-10-25 00:00:00,Básico,2017/1,E,Formados,2016-01-07 00:00:00,25,Fora do prazo,7274,Branca,20171,2017-10-25 00:00:00,160,2017-01-01 00:00:00,Fic,2016,Fic,CE,111021,2017-05-22 00:00:00,Seleção Extensão,25 a 29 anos,F,2017-11-16 00:00:00,20162,2,0,Regular,Regular,Adulto (20 a 59 anos),160,Acaraú,Retida,Bela Cruz
472,"L2 Esc Publica, Renda<1.5sm, Raca",1,2,2017-04-19 00:00:00,Técnico,2016/2,E,Formados,2016-01-01 00:00:00,26,Dentro do prazo,5929,Parda,20162,2017-04-19 00:00:00,800,2016-01-07 00:00:00,Subsequente,2016,Subsequente,CE,11203,2016-11-16 00:00:00,Seleção Técnico,25 a 29 anos,M,2017-05-15 00:00:00,20161,2,0,Educação Profissional,Educação Profissional,Adulto (20 a 59 anos),800,Acaraú,Não Retida,Acaraú
473,Não possui,1,1,2016-10-18 00:00:00,Básico,2016/2,E,Formados,2016-01-01 00:00:00,23,Dentro do prazo,7274,Não dispõe da informação,20161,2016-10-18 00:00:00,160,2016-01-01 00:00:00,Fic,2016,Fic,CE,111021,2016-07-11 00:00:00,Seleção Extensão,20 a 24 anos,F,2016-11-23 00:00:00,20161,2,0,Regular,Regular,Adulto (20 a 59 anos),160,Acaraú,Não Retida,Acaraú
476,Ampla Concorrência,1,2,2018-05-16 00:00:00,Técnico,2017/2,E,Formados,2017-01-01 00:00:00,23,Dentro do prazo,7083,Parda,20172,2018-05-16 00:00:00,800,2017-01-07 00:00:00,Subsequente,2017,Subsequente,CE,11204,2017-11-16 00:00:00,Seleção Técnico,20 a 24 anos,M,2018-06-04 00:00:00,20171,2,0,Educação Profissional,Educação Profissional,Adulto (20 a 59 anos),800,Acaraú,Não Retida,Acaraú
483,Ampla Concorrência,1,2,2019-10-18 00:00:00,Técnico,2019/1,E,Formados,2018-01-07 00:00:00,24,Fora do prazo,7083,Parda,20182,2019-10-18 00:00:00,800,2018-01-07 00:00:00,Subsequente,2018,Subsequente,CE,11204,2018-11-26 00:00:00,Seleção Técnico,20 a 24 anos,M,2019-05-22 00:00:00,20182,2,0,Educação Profissional,Educação Profissional,Adulto (20 a 59 anos),800,Acaraú,Não Retida,Marco
495,Não possui,1,1,2019-10-18 00:00:00,Básico,2019/2,E,Formados,2019-01-01 00:00:00,24,Dentro do prazo,7274,Branca,20191,2019-10-18 00:00:00,160,2019-01-01 00:00:00,Fic,2019,Fic,CE,111021,2019-05-22 00:00:00,Seleção Extensão,20 a 24 anos,F,2019-11-04 00:00:00,20191,2,0,Regular,Regular,Adulto (20 a 59 anos),160,Acaraú,Não Retida,Acaraú
496,Não possui,1,1,2018-03-17 00:00:00,Pós-graduação,2016/2,F,Formados,2016-01-07 00:00:00,26,Dentro do prazo,6991,Parda,20162,2018-03-17 00:00:00,360,2016-01-07 00:00:00,Especialização,2016,Especialização,CE,11700,2017-03-17 00:00:00,Seleção Pós-graduação,25 a 29 anos,F,2018-08-24 00:00:00,20162,1,0,Regular,Regular,Adulto (20 a 59 anos),360,Acaraú,Não Retida,Cruz
509,Ampla Concorrência,1,2,2018-05-16 00:00:00,Técnico,2017/2,E,Formados,2017-01-01 00:00:00,30,Dentro do prazo,5929,Parda,20171,2018-05-16 00:00:00,800,2017-01-01 00:00:00,Subsequente,2017,Subsequente,CE,11203,2017-05-15 00:00:00,Seleção Técnico,30 a 34 anos,M,2017-11-16 00:00:00,20171,2,0,Educação Profissional,Educação Profissional,Adulto (20 a 59 anos),800,Acaraú,Não Retida,Acaraú
514,Não possui,1,2,2019-05-09 00:00:00,Básico,2018/2,E,Formados,2018-01-01 00:00:00,21,Dentro do prazo,7274,Parda,20181,2019-05-09 00:00:00,160,2018-01-01 00:00:00,Fic,2018,Fic,CE,111021,2018-06-12 00:00:00,Seleção Extensão,20 a 24 anos,F,2018-11-26 00:00:00,20181,2,0,Regular,Regular,Adulto (20 a 59 anos),160,Acaraú,Não Retida,Acaraú
516,Ampla Concorrência,1,1,2018-05-16 00:00:00,Técnico,2018/1,E,Formados,2017-01-07 00:00:00,22,Dentro do prazo,5929,Preta,20172,2018-05-16 00:00:00,800,2017-01-07 00:00:00,Subsequente,2017,Subsequente,CE,11203,2017-11-16 00:00:00,Seleção Técnico,20 a 24 anos,F,2018-06-04 00:00:00,20172,2,0,Educação Profissional,Educação Profissional,Adulto (20 a 59 anos),800,Acaraú,Não Retida,Itarema
520,Ampla Concorrência,3,4,2018-05-16 00:00:00,Técnico,2017/2,E,Formados,2016-01-01 00:00:00,22,Dentro do prazo,6427,Parda,20172,2018-05-16 00:00:00,1080,2017-01-07 00:00:00,Subsequente,2016,Subsequente,CE,11201,2017-11-16 00:00:00,Seleção Técnico,20 a 24 anos,M,2018-06-04 00:00:00,20161,4,0,Educação Profissional,Educação Profissional,Adulto (20 a 59 anos),1080,Acaraú,Não Retida,Acaraú
530,Não possui,1,2,2019-05-09 00:00:00,Básico,2018/2,E,Formados,2018-01-01 00:00:00,24,Dentro do prazo,7274,Parda,20181,2019-05-09 00:00:00,160,2018-01-01 00:00:00,Fic,2018,Fic,CE,111021,2018-06-12 00:00:00,Seleção Extensão,20 a 24 anos,F,2018-11-26 00:00:00,20181,2,0,Regular,Regular,Adulto (20 a 59 anos),160,Acaraú,Não Retida,Acaraú
532,Ampla Concorrência,9,9,2019-11-20 00:00:00,Graduação,2018/2,E,Formados,2015-01-01 00:00:00,23,Fora do prazo,4017,Não dispõe da informação,20191,2019-11-20 00:00:00,2960,2019-01-01 00:00:00,Licenciatura,2015,Licenciatura,CE,11400,2019-05-22 00:00:00,Sisu,20 a 24 anos,F,2019-10-31 00:00:00,20151,8,0,Regular,Regular,Adulto (20 a 59 anos),2960,Acaraú,Retida,Cruz
536,Ampla Concorrência,3,2,2017-11-01 00:00:00,Técnico,2017/1,E,Formados,2016-01-07 00:00:00,25,Fora do prazo,7083,Branca,20171,2017-11-01 00:00:00,800,2017-01-01 00:00:00,Subsequente,2016,Subsequente,CE,11204,2017-05-15 00:00:00,Seleção Técnico,25 a 29 anos,F,2017-11-16 00:00:00,20162,2,0,Educação Profissional,Educação Profissional,Adulto (20 a 59 anos),800,Acaraú,Retida,Acaraú
538,Não possui,1,2,2019-05-09 00:00:00,Básico,2018/2,E,Formados,2018-01-01 00:00:00,23,Dentro do prazo,7274,Branca,20182,2019-05-09 00:00:00,160,2018-01-07 00:00:00,Fic,2018,Fic,CE,111021,2018-11-26 00:00:00,Seleção Extensão,20 a 24 anos,F,2019-05-22 00:00:00,20181,2,0,Regular,Regular,Adulto (20 a 59 anos),160,Acaraú,Não Retida,Marco
546,Não possui,1,1,2016-10-18 00:00:00,Básico,2016/2,E,Formados,2016-01-01 00:00:00,25,Dentro do prazo,7274,Branca,20161,2016-10-18 00:00:00,160,2016-01-01 00:00:00,Fic,2016,Fic,CE,111021,2016-07-11 00:00:00,Seleção Extensão,25 a 29 anos,M,2016-11-23 00:00:00,20161,2,0,Regular,Regular,Adulto (20 a 59 anos),160,Acaraú,Não Retida,Itarema
560,Ampla Concorrência,1,2,2017-04-19 00:00:00,Técnico,2016/2,E,Formados,2016-01-01 00:00:00,22,Dentro do prazo,7083,Parda,20161,2017-04-19 00:00:00,800,2016-01-01 00:00:00,Subsequente,2016,Subsequente,CE,11204,2016-06-22 00:00:00,Seleção Técnico,20 a 24 anos,F,2016-11-16 00:00:00,20161,2,0,Educação Profissional,Educação Profissional,Adulto (20 a 59 anos),800,Acaraú,Não Retida,Acaraú
